"image_id","label"
"train_396d","fish"
"train_397b","nuts"
"train_404b","fish"
"train_408d","fish"
"train_409d","fish"
"train_411a","soda"
"train_412a","honey"
"train_415b","soda"
"train_415d","nuts"
"train_417a","rice"
"train_421a","fish"
"train_423a","fish"
"train_425a","honey"
"train_429a","honey"
"train_429d","honey"
"train_430b","soda"
"train_431c","honey"
"train_436d","soda"
"train_441c","rice"
"train_442a","honey"
"train_444b","rice"
"train_444c","soda"
"train_445d","soda"
"train_446a","honey"
"train_447d","fish"
"train_448c","nuts"
"train_451b","honey"
"train_451c","nuts"
"train_452d","rice"
"train_453d","nuts"
"train_454c","honey"
"train_454d","honey"
"train_458a","fish"
"train_458d","honey"
"train_461c","nuts"
"train_466b","honey"
"train_467a","nuts"
"train_469d","honey"
"train_470a","soda"
"train_473b","rice"
"train_475a","soda"
"train_477a","soda"
"train_480b","soda"
"train_480c","rice"
"train_482b","honey"
"train_486d","rice"
"train_488c","soda"
"train_489c","nuts"
"train_491b","soda"
"train_492c","honey"
"train_493d","rice"
"train_494d","nuts"
"train_498a","nuts"
"train_500c","honey"
"train_501d","nuts"
"train_502d","soda"
"train_504a","soda"
"train_505c","fish"
"train_508d","soda"
"train_510d","soda"
"train_511c","nuts"
"train_511d","soda"
"train_518c","nuts"
"train_519d","rice"
"train_521b","honey"
"train_524b","rice"
"train_524d","nuts"
"train_525b","rice"
"train_527b","nuts"
"train_530b","honey"
"train_530d","soda"
"train_531c","honey"
"train_532d","rice"
"train_534b","nuts"
"train_536c","soda"
"train_540d","honey"
"train_541c","soda"
"train_543c","fish"
"train_544b","rice"
"train_545b","soda"
"train_547b","honey"
"train_549d","rice"
"train_551a","honey"
"train_551d","honey"
"train_553c","nuts"
"train_554c","rice"
"train_558b","soda"
"train_560b","honey"
"train_561b","fish"
"train_563a","nuts"
"train_564a","soda"
"train_569b","nuts"
"train_570c","soda"
"train_570d","soda"
"train_571b","fish"
"train_572d","rice"
"train_575c","honey"
"train_577b","nuts"
"train_577d","nuts"
"train_579d","fish"
"train_580c","nuts"
"train_583b","soda"
"train_584d","nuts"
"train_585a","nuts"
"train_586a","fish"
"train_587d","rice"
"train_589d","fish"
"train_597b","nuts"
"train_600b","nuts"
"train_600c","nuts"
"train_603a","nuts"
"train_604b","honey"
"train_604d","fish"
"train_607b","soda"
"train_609a","honey"
"train_613c","soda"
"train_614b","rice"
"train_620a","rice"
"train_621c","rice"
"train_624b","soda"
"train_624c","rice"
"train_627d","soda"
"train_628b","fish"
"train_629a","honey"
"train_630b","honey"
"train_631a","rice"
"train_631d","rice"
"train_634b","fish"
"train_634c","soda"
"train_634d","honey"
"train_636a","soda"
"train_636c","soda"
"train_636d","fish"
"train_638d","fish"
"train_641a","honey"
"train_642b","honey"
"train_642d","rice"
"train_643a","honey"
"train_643b","rice"
"train_643d","honey"
"train_644d","honey"
"train_646a","fish"
"train_647a","rice"
"train_647b","nuts"
"train_648b","rice"
"train_649d","nuts"
"train_652d","soda"
"train_654d","fish"
"train_657d","nuts"
"train_658c","nuts"
"train_661d","fish"
"train_662d","rice"
"train_666b","soda"
"train_669c","soda"
"train_671a","fish"
"train_672c","nuts"
"train_675a","rice"
"train_675b","soda"
"train_677c","honey"
"train_680b","honey"
"train_681a","honey"
"train_681d","nuts"
"train_683b","soda"
"train_684d","soda"
"train_685b","fish"
"train_685c","nuts"
"train_686c","nuts"
"train_690b","soda"
"train_691d","honey"
"train_692b","nuts"
"train_693a","fish"
"train_696a","fish"
"train_697c","nuts"
"train_698b","nuts"
"train_701b","honey"
"train_701c","fish"
"train_702c","soda"
"train_709a","soda"
"train_711c","nuts"
"train_712c","fish"
"train_713b","nuts"
"train_714b","soda"
"train_719a","fish"
"train_720c","rice"
"train_721d","rice"
"train_723c","rice"
"train_727b","honey"
"train_727c","fish"
"train_729c","rice"
"train_729d","soda"
"train_731a","soda"
"train_731b","nuts"
"train_731d","soda"
"train_738b","soda"
"train_741b","fish"
"train_746c","nuts"
"train_747a","honey"
"train_747b","soda"
"train_751d","honey"
"train_753d","soda"
"train_754d","rice"
"train_755b","honey"
"train_755c","honey"
"train_758b","soda"
"train_759c","nuts"
"train_762d","rice"
"train_764d","soda"
"train_765c","fish"
"train_768d","honey"
"train_770b","honey"
"train_771a","nuts"
"train_771c","honey"
"train_772b","honey"
"train_774b","nuts"
"train_774c","soda"
"train_774d","soda"
"train_775d","honey"
"train_776b","fish"
"train_777b","nuts"
"train_778c","nuts"
"train_779d","rice"
"train_780b","soda"
"train_780d","rice"
"train_783c","nuts"
"train_784c","fish"
"train_785b","soda"
"train_786b","honey"
"train_789c","honey"
"train_791a","honey"
"train_794c","fish"
"train_795b","nuts"
"train_795c","honey"
"train_797b","rice"
"train_797c","rice"
"train_798b","nuts"
"train_799a","fish"
"train_799b","honey"
"train_802c","honey"
"train_803c","soda"
"train_804a","nuts"
